ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994
177,,red,,,,2,2
577,,red,,,9/9/04,2,2
598,,red,1/?/2006,4/?/2008,,2,2
800,,red,,,4/29/06,2,2
801,,red,,,,2,2
802,,red,,,,2,2
1504,,red,11/5/04,,,2,2
1506,,red,6/?/2005,,,2,2
1507,,red,9/16/04,,,2,2
1509,,red,7/?/2005,,,2,2
1530,,red,11/5/04,,,2,2
1534,,red,9/?/2004,?/?/2007,,2,2
1541,,red,10/?/2004,12/?/2006,,2,2
1553,,red,7/13/04,12/?/2006,,2,2
1555,,red,6/30/04,?/?/2011,,2,2
1556,,red,7/27/04,,,2,2
1558,,red,11/5/04,?/?/2014,,2,2
1561,,red,7/?/2004,3/?/2007,,2,2
1562,,red,6/?/2005,?/?/2012,,2,2
1563,,red,6/30/04,,,2,2
1570,,red,8/?/2004,,,2,2
1574,,red,,,,2,2
1579,,red,,,11/9/05,2,2
1580,,red,,,4/29/06,2,2
1582,,red,7/2/05,?/?/2012,,2,2
1590,,red,11/5/04,,,2,2
1595,,red,7/26/04,3/?/2007,,2,2
