ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994
177,,Red, ,,,2,2
594,,Red,11/17/05,8/17/08,,2,2
595,,Red,11/18/05,1/24/10,,2,2
596,,Red,11/17/05,5/17/09,,2,2
800,,Red,,,4/29/06,2,2
810,,Red,11/10/05,9/1/14,,2,2
812,,Red,1/13/06,1/13/12,,2,2
814,,Red,1/13/03,,11/9/05,2,2
815,,Red,11/1/05,11/1/20,,2,2
816,,Red,1/13/06,1/13/12,,2,2
817,,Red,1/19/06,1/19/18,,2,2
819,,Red,11/23/05,11/23/14,,2,2
820,,Red,1/18/06,1/25/06,,2,2
824,,Red,1/1/06,11/29/11,,2,2
828,,Red,1/13/06,11/29/16,,2,2
829,,Red,,,10/1/05,2,2
830,,Red,,,10/1/05,2,2
831,,Red,,,10/1/05,2,2
834,,Red,1/13/06,11/1/12,,2,2
835,,Red,1/18/06, ,,2,2
838,,Red,1/1/06,11/29/16,,2,2
839,,Red,11/9/05,9/7/24,,2,2
840,,Red,,,,2,2
841,,Red,,,,2,2
1579,,Red,,,11/9/05,2,2
1580,,Red,,,4/29/06,2,2
1605,,Red,,,,2,2
