ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994
151,,Red,10/?/2002,6/14/06,,2,2
153,,Red,?/?/2003,,,2,2
155,,Red,12/?/2002,,11/8/08,2,2
160,,Red,11/21/02,,11/8/08,2,2
162,,Red,11/6/02,,11/8/08,2,2
163,,Red,1/13/03,,,2,2
164,,Red,12/9/01,,,2,2
176,,Red,4/22/03,,,2,2
180,,Red,9/27/02,3/?/2005,,2,2
183,,Red,,,,2,2
189,,Red,,,,2,2
193,,Red,8/?/2001,,,2,2
365,,Red,4/27/03,8/?/2007,,2,2
368,,Red,12/?/2001,5/?/2006,,2,2
373,,Red,12/?/2001,,,2,2
376,,Red,12/?/2001,,,2,2
538,,Red,,,?/?/2000,2,2
539,,Red,?/?/2002,,,2,2
540,,Red,6/?2005,,,2,2
542,,Red,5/22/03,,,2,2
543,,Red,,,?/?/2000,2,2
544,,Red,,,?/?/2000,2,2
545,,Red,,,?/?/2000,2,2
546,,Red,,,?/?/2002,2,2
589,,Red,?/?/2002,,,2,2
650,,Red,,,,2,2
1502,,Red,1/21/03,,,2,2
1508,,Red,1/?/2001,,,2,2
1517,,Red,5/?/2003,?/?/2006,,2,2
1518,,Red,?/?/2001,6/?/2006,,2,2
1521,,Red,6/12/03,?/?/2007,,2,2
1527,,Red,1/16/01,?/?/2005,,2,2
1546,,Red,1/13/01,?/?/2005,,2,2
1559,,Red,6/?/2003,,,2,2
1564,,Red,1/13/03,,,2,2
1565,,Red,2/16/04,,,2,2
1566,,Red,?/?/2001,?/?/2004,,2,2
1568,,Red,,,,2,2
1573,,Red,,,,2,2
1576,,Red,,,,2,2
1577,,Red,11/25/02,1/15/07,,2,2
1579,,Red,,,11/9/05,2,2
1588,,Red,1/?/2001,,,2,2
1597,,Red,6/?/2003,,,2,2
2360,,Red,,,,2,2
